poradi,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani
436.0,"MČ Praha - Lipence        (Praha, PHA)","Souhlasíte s tím, aby městská část Praha - Lipence v rámci samostatné působnosti činila veškeré kroky k tomu, aby nedošlo ke změně platné i nově navrhované územně plánovací dokumentace za účelem vzniku nových ploch pro bydlení či ploch všeobecně smíšených na pozemcích parc. č. 2265/6, 2265/8, 2259/8, 2249/1, 2250/1 a 2257/1 v k. ú. Lipence v oblasti mezi spojením ulic V Alejích, Českého červeného kříže, K Průhonu, K Obsinám a ulicí Ke Kazínu a na pozemcích parc.č. 2181/4 a 2179/1 v k.ú. Lipence v oblasti louky pod hájovnou?",2024-11-15 00:00:00,2248,0.4947,ANO,"1 068 (96,04 %)","30         (2,70 %)",ANO       (562),
,,"Souhlasíte s tím, aby městská část Praha – Lipence v rámci samostatné působnosti činila veškeré kroky k tomu, aby na pozemcích parc. č. 2265/6, 2265/8, 2257/1, 2249/1 a 2250/1 v k. ú. Lipence v oblasti mezi spojením ulic V Alejích, Českého červeného kříže, K Průhonu, K Obsinám a ulicí Ke Kazínu, které se nacházejí v ploše OB-A a OB-B, byla umožněna výstavba za účelem bydlení 
pouze v rodinných domech o maximálně dvou nadzemních podlažích?",,,,,"1 026 (92,27 %)","66         (5,94 %)",ANO       (562),
437.0,"Počátky (Pelhřimov, VYS)","Souhlasíte s tím, aby zastupitelstvo města Počátky, v samostatné působnosti obce, podnikalo kroky směřující k výstavbě větrných elektráren na území města Počátky, tj. v katastrech 722979 Heřmaneč, 722987 Horní Vilímeč, 722998 Léskovec, 723002 Počátky, 723011 Prostý, 723037 Vesce?",2024-11-08 00:00:00,2000,0.35,ANO,"148    (21,14 %)","544    (77,71 %)",ANO       (500),
,,"Souhlasíte s výstavbou větrných elektráren pouze v lokalitě Jakubínská, která se nachází v k. ú. Počátky ve směru za Strážným kopcem k obci Jakubín, za podmínek finančního přínosu pro město Počátky?",,,0.361,ANO,"200    (27,70 %)","514    (71,19 %)",ANO       (500),
438.0,"Peč             (Jindřichův Hradec, JHČ)","Souhlasím se spoluprací obce Peč a některé firmy z holdingu JIPOCAR GROUP a.s. na výstavbě větrných elektráren na území katastru Peč, Lidéřovice a Urbaneč.",03.-04.10.2025,367,0.6921,ANO,"91      (35,83 %)","154    (60,63 %)",ANO          (92),
439.0,"Sirá             (Rokycany, PLK)","Souhlasíte s tím, aby zvolení zastupitelé obce Sirá umožnili umístění jedné větrné elektrárny v katastrálním území Sirá?",2024-11-09 00:00:00,123,0.6016,ANO,"33      (44,59 %)","36      (48,65 %)",NE              (31),
440.0,"Přehýšov          (Plzeň-sever, PLK)","1. Požadujete, aby orgány obce Přehýšov učinily v samostatné působnosti veškeré možné kroky (včetně neschválení nového územního plánu Přehýšov) k tomu, aby zabránily rozšíření stávajícího Logistického centra Přehýšov nacházejícího se u dálnice D5, exit 100, v katastrálním území Přehýšov, obec Přehýšov (viz šedé území na přiloženém plánku) na další území, a to konkrétně na přilehlou plochu A (viz růžové území na přiloženém plánku), za účelem výstavby dalších průmyslových objektů, zejména skladových hal nebo hal pro lehkou výrobu?",2024-12-06 00:00:00,487,0.5462,ANO,"217    (81,58 %)","25         (9,40 %)",ANO       (122),
,,"2. Požadujete, aby orgány obce Přehýšov učinily v samostatné působnosti veškeré možné kroky (včetně neschválení nového územního plánu Přehýšov) k tomu, aby zabránily rozšíření stávajícího Logistického centra Přehýšov nacházejícího se u dálnice D5, exit 100, v katastrálním území Přehýšov, obec Přehýšov (viz šedé území na přiloženém plánku) na další území, a to konkrétně na přilehlou plochu B (viz žluté území na přiloženém plánku), za účelem výstavby dalších průmyslových objektů, zejména skladových hal nebo hal pro lehkou výrobu?",,,,,"219    (82,33 %)","23         (8,64 %)",ANO       (122),
,,"3. Požadujete, aby orgány obce Přehýšov učinily v samostatné působnosti veškeré možné kroky (včetně neschválení nového územního plánu Přehýšov) k tomu, aby zabránily rozšíření stávajícího Logistického centra Přehýšov nacházejícího se u dálnice D5, exit 100, v katastrálním území Přehýšov, obec Přehýšov (viz šedé území na přiloženém plánku) na další území, a to konkrétně na přilehlou plochu C (viz zelené území na přiloženém plánku), za účelem  výstavby dalších průmyslových objektů, zejména skladových hal nebo hal pro lehkou výrobu?",,,,,"218    (81,95 %)","23         (8,65 %)",ANO       (122),
441.0,"Lhota u Příbramě (Příbram, STČ)","Souhlasíte, aby zastupitelstvo obce Lhota u Příbramě podniklo kroky k zamezení výstavby spalovny tuhého komunálního odpadu Příbram - zařízení pro energetické využití odpadu?",2025-01-18 00:00:00,381,0.2047,NE,"62      (79,49 %)","12      (15,38 %)",NE              (96),
442.0,"Řimovice    (Benešov, STČ)","Souhlasíte s tím, aby v katastrálním území obce Řimovice (745758), 258 01, byla realizována výstavba větrných elektráren?",2024-12-21 00:00:00,181,0.8508,ANO,"70      (45,45 %)","84      (54,55 %)",ANO          (46),
443.0,"Týček         (Rokycany, PLK)","Souhlasíte s tím, aby zvolení zastupitelé obce Týček umožnili umístění jedné větrné elektrárny v katastrálním území Týček?",2025-03-15 00:00:00,193,0.6062,ANO,"75      (64,10 %)","40      (34,19 %)",ANO          (49),
444.0,"Okna                   (Česká Lípa, LBK)",Souhlasíte s výstavbou nové školní budovy v obci Okna?,2025-02-15 00:00:00,258,0.7481,ANO,"91      (47,15 %)","95      (49,22 %)",NE              (65),
,,Souhlasíte s převodem obecní kanalizace na soukromou společnost?,,,,,"110    (56,99 %)","71      (36,79 %)",ANO          (65),
,,"Souhlasíte s tím, aby obec Okna ve své samostatné působnosti bezodkladně podnikla veškeré zákonné  kroky proti plánované výstavbě přeložky silnice č. 1/38 Doksy Obora, v blízkosti zastavěného území obce Okna?",,,,,"79      (40,93 %)","92      (47,67 %)",NE              (65),
445.0,"Znojmo         (Znojmo, JHM)","1. Souhlasíte s tím, aby Zastupitelstvo města Znojma schválilo přestavbu areálu bývalé hasičské zbrojnice ve Znojmě (Pražská 2396/81 a 3198/83, Znojmo) na centralizovaný Městský úřad Znojmo?",2025-03-29 00:00:00,26617,0.1586,NE,"1 527 (36,17 %)","2 500 (59,21 %)",NE                  (6 655),
,,"2. Souhlasíte s tím, aby Zastupitelstvo města Znojma schválilo přestavbu areálu bývalých Městských lázní ve Znojmě (náměstí Svobody 2814/15, Znojmo) na bazén s wellness prvky v rámci dlouhodobého smluvního vztahu mezi městem a soukromým investorem (tzv. veřejně-soukromé partnerství neboli PPP projekt)?",,,,,"607    (14,38 %)","1 618 (38,32 %)",NE                  (6 655),
,,"3. Souhlasíte s tím, aby Zastupitelstvo města Znojma schválilo přestavbu areálu bývalých Městských lázní ve Znojmě (náměstí Svobody 2814/15, Znojmo) na městskou knihovnu s komunitním centrem?",,,,,"1 133 (26,84 %)","1 285 (30,44 %)",NE                  (6 655),
,,"4. Souhlasíte s tím, aby Zastupitelstvo města Znojma schválilo přestavbu areálu bývalých Městských lázní ve Znojmě (náměstí Svobody 2814/15, Znojmo) na městskou tržnici s regionálními produkty?",,,,,"382      (9,05 %)","1 751 (41,47 %)",NE                  (6 655),
,,"5. Souhlasíte s tím, aby Zastupitelstvo města Znojma schválilo přestavbu areálu bývalých Městských lázní ve Znojmě (náměstí Svobody 2814/15, Znojmo) na sportovní halu?",,,,,"1 816 (43,01 %)","987    (23,38 %)",NE                  (6 655),
,,"6 Souhlasíte s tím, aby Zastupitelstvo města Znojma schválilo přestavbu areálu bývalých Městských lázní ve Znojmě (náměstí Svobody 2814/15, Znojmo) na volnočasové zábavní centrum?",,,,,"752    (17,81 %)","1 496 (35,43 %)",NE                  (6 655),
446.0,"Uhy                  (Kladno, STČ)","Souhlasíte, aby zastupitelstvo obce Uhy podpořilo výstavbu tří větrných elektráren na pozemcích p. č. 316/5, 314/18, 274/26 a 274/27 v katastru obce Uhy?",2025-04-25 00:00:00,299,0.6054,ANO,"157    (86,74 %)","23      (12,71 %)",ANO          (75),
447.0,"Stéblová (Pardubice, PAK)","Souhlasíte, aby obec Stéblová čerpala úvěr ve výši 10.000.000,- Kč za účelem koupě budovy čp 50, která je součástí pozemku parc. č. st. 37/2, včetně přilehlého pozemku parc. č. 46/1, v k.ú. Stéblová?",2025-04-12 00:00:00,190,0.5737,ANO,"93      (85,32 %)","16      (14,68 %)",ANO          (48),
448.0,"Černolice           (Praha - západ, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Černolice a obec Černolice v samostatné působnosti činily vždy všechny potřebné kroky k tomu, aby zabránily zasypání pozemku p.č. 305/42 v katastrálním území Černolice odpady nebo vytěženou zeminou?",03.-04.10.2025,427,0.7447,ANO,"306    (96,23 %)","7           (2,20 %)",ANO         (107),
449.0,"Běstovice              (Ústí nad Orlicí, PAK)","1. Jste proti plánované výstavbě s názvem „Sídliště Východ“ v lokalitě běstovického písníku na plochách označených v územním plánu jako Z3, Z13, Z15 a Z16 v rozsahu územní studie prezentované na jednání zastupitelstva konaném dne 19.8.2024?",2025-05-11 00:00:00,356,0.6657,ANO,"140    (59,07 %)","90      (37,97 %)",ANO          (89),
,,"2. Souhlasíte s tím, aby obec Běstovice a všechny její orgány včetně zastupitelstva obce v rámci samostatné působnosti činila veškeré kroky k tomu, aby byly změnou územního plánu obce Běstovice plochy nyní označené jako Z3, Z13, Z15 a Z16 vráceny do původního způsobu využití, tzn. aby tyto plochy byly opětovně vymezeny pro způsob využití jako pole a trvalé travní porosty?",,,,,"139    (58,65 %)","88      (37,13 %)",ANO          (89),
450.0,"Vlkov             (Náchod, HKK)","Souhlasíte s umístěním fotovoltaických elektráren na pozemcích, které nejsou zastavěny nebo územním plánem Vlkova určeny k zastavění?",2025-05-16 00:00:00,312,0.641,ANO,"13           (6,5 %)","181    (90,50 %)",ANO          (78),
451.0,"Karolinka        (Vsetín, ZLK)","1) Souhlasíte s tím, aby město Karolinka koupilo od společnosti SYNOT REAL ESTATE, k.s., IČ: 26221276, se sídlem: Jaktáře 1475, Mařatice, 686 01 Uherské Hradiště tzv. Areál bývalé sklárny (tedy pozemky p. č. 1/2, 1/3, 1/4, 1/5, 1/6, 1/7, 1/8, 1/9, 1/10, 1/11, 1/12, 1/13, 1/14, 1/15, 1/16, 1/17, 1/18, 1/19, 1/20, 1/21, 1/22, 1/23, 1/24, 1/25, 1/26, 1/27, 1/28, 1/31, 11/4, 11/9, 171/2, 171/3, 4439/32, 5146/1, 5146/2, 5146/3, 5146/4, 5146/5, 5146/6, 5147 a 5148, včetně staveb jež jsou jejich součástí, to vše zapsáno v katastru nemovitostí vedeného Katastrálním úřadem pro Zlínský kraj  katastrální pracoviště Vsetín pro obec a k. ú. Karolinka na LV č. 1050) za cenu 52 000 000 Kč?",2025-04-26 00:00:00,1928,0.3693,ANO,"569    (79,92 %)","129    (18,12 %)",ANO       (482),
,,"2) Souhlasíte s tím, aby město Karolinka koupilo od společnosti SYNOT REAL ESTATE, k.s., IČ: 26221276, se sídlem: Jaktáře 1475, Mařatice, 686 01 Uherské Hradiště pozemek p. č. 3506/2, jehož součástí je stavba ubytovny, to vše zapsáno v katastru nemovitostí vedeného Katastrálním úřadem pro Zlínský kraj katastrální pracoviště Vsetín pro obec a k. ú. Karolinka na LV č. 1050) za cenu 35 500 000 Kč?",,,,,"479    (67,28 %)","216    (30,34 %)",NE           (482),
452.0,"Menhartice    (Třebíč, VYS)",Souhlasíte s výstavbou větrného parku v katastru obce Menhartice?,2025-04-26 00:00:00,BYLO ZRUŠENO PŘED KONÁNÍM,,,,,,
453.0,"Nové Heřminovy (Bruntál, MSK)",Souhlasíte se záměrem vybudovat v obci protipovodňová opatření včetně přehrady?,2025-04-26 00:00:00,281,0.5196,ANO,"127    (86,99 %)","10         (6,85 %)",ANO          (71),
454.0,"Plískov      (Rokycany, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Plískov umožnilo výstavbu jedné větrné elektrárny v katastrálním území Plískov?",2025-05-31 00:00:00,101,0.7624,ANO,"39      (50,65 %)","38      (49,35 %)",ANO          (26),
455.0,"Hlušice            (Hradec Králové, HKK)","Souhlasíte s tím, aby obec Hlušice pronajala společnosti ČEZ Obnovitelné zdroje, s.r.o., pozemky v k.ú. Hlušice a umožnila této společnosti výstavbu fotovoltaické elektrárny na přibližně 15 ha obecních pozemků?",2025-06-08 00:00:00,614,0.3697,ANO,"130    (57,27 %)","96      (42,29 %)",NE           (154),
456.0,"Vrchoslavice (Prostějov, OLK)","Souhlasíte s tím, aby obec Vrchoslavice NEPOVOLILA výstavbu větrných elektráren v katastru obce?",2025-05-11 00:00:00,496,0.5141,ANO,"171    (67,06 %)","84      (32,94 %)",ANO       (124),
457.0,"Mišovice           (Písek, JHČ)",Souhlasím s výstavbou větrných elektráren v katastru obce Mišovice.,03.-04.10.2025,203,0.798,ANO,"83      (51,23 %)","79      (48,77 %)",ANO          (51),
458.0,"Kobylá nad Vidnavkou   (Jeseník, OLK)","1) Souhlasíte s tím, aby obec Kobylá nad Vidnavkou učinila všechny kroky v samostatné působnosti tak, aby byla zachována a obnovena místní komunikace č. 1d (místní název Dědinská)?",03.-04.10.2025,311,0.6463,ANO,"174    (86,57 %)","17         (8,46 %)",ANO          (78),
,,"2) Souhlasíte s tím, aby obec Kobylá nad Vidnavkou učinila všechny kroky v samostatné působnosti tak, aby byly zachovány stávající železniční přejezdy v katastru obce?",,,,,"165    (82,09 %)","15         (7,46 %)",ANO          (78),
459.0,"Benešov     (Benešov, STČ)","Souhlasíte s demolicí budovy č. p. 364 (hlavní budova bývalých Táborských kasáren) na pozemku parcelní číslo 535/5, v katastrálním území Benešov u Prahy, obec Benešov?",03.-04.10.2025,12373,0.5378,ANO,"4 388 (65,95 %)","2 057 (30,91 %)",ANO              (3 094),
460.0,"Bernartice    (Jeseník, OLK) ","Souhlasíte s tím, aby obec Bernartice v samostatné působnosti neposkytla žádným způsobem součinnost k realizaci větrných elektráren na svém území, zejména aby:
a) Učinila všechny kroky k tomu, aby Územní plán obce Bernartice neumožnil realizaci větrných elektráren.
b) Učinila všechny kroky k ukončení všech smluv týkajících se připravovaných větrných elektráren, které doposud uzavřela.
c) Se účastnila všech správních procesů a řízení, které budou týkat povolení větrných elektráren a aby v těchto procesech a řízeních uplatňovala negativní stanoviska, námitky a opravné prostředky.",03.-04.10.2025,651,0.6267,ANO,"324    (79,41 %)","80      (19,61 %)",ANO       (163),
461.0,"Čáslav
(Kutná Hora, STČ)","1. Chcete, aby město Čáslav v mezích své samostatné působnosti zamezilo rozšiřování skládkování odpadu na svém území?",03.-04.10.2025,7746,0.5826,ANO,"3 209 (71,11 %)","885    (19,61 %)",ANO              (1 937),
,,"2. Chcete, aby město Čáslav změnilo územní plán tak, aby plochu vymezenou nyní jako Z19 nebylo možné využít pro žádný způsob odstraňování a využívání odpadů?",,,,,"3 145 (69,69 %)","892    (19,77 %)",ANO              (1 937),
,,"3. Chcete, aby město Čáslav změnilo územní plán tak, aby se z plochy vymezené nyní jako Z19 stala plocha zemědělská?",,,,,"3 107 (68,85 %)","907    (20,10 %)",ANO              (1 937),
,,"4. Chcete, aby na ploše vymezené nyní v územním plánu města Čáslav jako Z19 nebyla možná jakákoliv eventuální výstavba a provoz do doby kolaudace přeložky silnice II/339?",,,,,"3 156 (69,93 %)","866    (19,19 %)",ANO              (1 937),
,,"5. Chcete, aby město Čáslav v mezích své samostatné působnosti důsledně vymáhalo své nároky vyplývající ze skládkování odpadu?",,,,,"3 433 (76,07 %)","634    (14,05 %)",ANO              (1 937),
462.0,"Jindřichovice pod Smrkem
(Liberec, LBK)","Podporujete, aby zastupitelstvo obce odsouhlasilo výstavbu jedné Větrné elektrárny v k.ú. Jindřichovice pod Smrkem?",03.-04.10.2025,492,0.4756,ANO,"128    (54,70 %)","98      (41,88 %)",ANO       (123),
